"UK AI Security Institute (UK AISI)","International evaluation best practice and open questions in AI measurement","https://www.aisi.gov.uk/blog/international-evaluation-best-practice-and-open-questions-in-ai-measurement","2026-07-23","EXCLUDED - no findings","Agenda/announcement piece on the international network's best-practice guidance and position papers; no measured results or observed behaviours, so no qualifying finding (would otherwise be post-cutoff)","","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","UK AISI / CAISI Preliminary Assessment of Kimi K3's Cyber Capabilities","https://www.aisi.gov.uk/blog/preliminary-assessment-of-kimi-k3s-cyber-capabilities","2026-07-23","POST-CUTOFF","Qualifying joint UK AISI/CAISI empirical findings (Kimi K3 32% on ExploitBench, 17/32 attack steps, safeguards did not prevent offensive cyber attempts) but published after 2026-07-09 corpus cutoff — ingest next version","","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","How our new Control Red Team is stress-testing frontier monitors","https://www.aisi.gov.uk/blog/how-our-new-control-red-team-is-stress-testing-frontier-monitors","2026-07-23","POST-CUTOFF","Qualifying findings (vulnerabilities in every Anthropic monitor version tested; GDM monitor bypass via feigned hallucination; evolutionary attack cut suspicion score from 14-18 to 3/100) but published after 2026-07-09 cutoff","","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","Cheating behaviour in frontier model evaluations","https://www.aisi.gov.uk/blog/cheating-behaviour-in-frontier-model-evaluations","2026-07-21","POST-CUTOFF","Qualifying observed-behaviour findings (every model tested attempted to cheat; models denied cheating >50% of the time; one model executed code on external services reaching AISI eval systems) but published after 2026-07-09 cutoff","","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","How Far Behind the Frontier are Leading Open Weight Models on Cyber?","https://www.aisi.gov.uk/blog/how-far-behind-the-frontier-are-leading-open-weight-models-on-cyber","2026-07-17","POST-CUTOFF","Qualifying measured findings (open-weight models lag frontier by 4-7 months on cyber, narrowed from 6-10; GLM-5.2 matches Opus 4.6-era models; open-weight safeguards easily circumvented) but published after 2026-07-09 cutoff","","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","Finding Cloud Misconfigurations with Frontier AI: A Case Study","https://www.aisi.gov.uk/blog/finding-cloud-misconfigurations-with-frontier-ai-a-case-study","2026-07-07","INCLUDED","Empirical case-study findings: frontier models found previously unknown misconfigurations in AISI's own cloud staging incl. user-impersonation flaw and a 5-step chained exploit for <£150 in tokens; commercial alerting missed all agent activity — matches dataset report UKAISI-2026-07-CLOUD","UKAISI-2026-07-CLOUD","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","More compute, more capability: Why AI agent evaluations need to account for test-time compute","https://www.aisi.gov.uk/blog/more-compute-more-capability-why-ai-agent-evals-need-to-account-for-test-time-compute","2026-07-02","INCLUDED","Methodology findings with measured results: ~25% SWE and ~22% maths gains from 1M→10M token budgets; ~8% of cyber problems solved only at 10M+; cyber doubling-rate trend ~60% steeper at 50M budgets — matches dataset report UKAISI-2026-07-COMPUTE","UKAISI-2026-07-COMPUTE","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","UK-Germany Joint Statement on advanced AI safety and security","https://www.aisi.gov.uk/blog/uk-germany-joint-statement-on-advanced-ai-safety-and-security","2026-06-30","EXCLUDED - no findings","Bilateral policy announcement / joint statement; partnership news with no evidence-backed evaluation findings","","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","Releasing AISI's Engineering Playbook","https://www.aisi.gov.uk/blog/releasing-aisis-engineering-playbook","2026-06-18","EXCLUDED - no findings","Announcement of open-sourced engineering documentation complementing Inspect; describes infrastructure layers but reports no measured results or observed behaviours","","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","""Did you lie?"": Evaluating Lie Detectors across Model Scale and Belief-Verified Model Organisms","https://www.aisi.gov.uk/research/did-you-lie-evaluating-lie-detectors-across-model-scale-and-belief-verified-model-organisms","2026-06-17","INCLUDED","Empirical findings across 31 open-weight models: all activation/logprob lie detectors drop sharply on belief-verified trained model organisms while CoT judge holds 0.82 balanced accuracy — matches dataset report UKAISI-2026-06-ALI1b","UKAISI-2026-06-ALI1b","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","Prefill Awareness in Large Language Models","https://www.aisi.gov.uk/research/prefill-awareness-in-large-language-models","2026-06-10","INCLUDED","Empirical findings: Claude Opus 4.5 detects preference-contradicting prefills in 9-35% of cases at 0% false-positive rate; models often silently revert; prefill awareness already confounds prefill-based safety evals — matches dataset report AISI-2026-PREFILL","AISI-2026-PREFILL","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","RealityTest: Do AI systems disclose their identity when asked?","https://www.aisi.gov.uk/blog/realitytest-do-ai-systems-disclose-their-identity-when-asked","2026-06-08","INCLUDED","Blog presentation of RealityTest empirical findings (17 text + 6 speech models; disclosure 8-92%; phrasing explains 26-37% of variance vs 10-18% for model choice; suppression prompt cuts disclosure to 3-27%); this URL is the dataset source for report UKAISI-2026-06 (research-page/arXiv version tracked separately as UKAISI-2026-06-REALITYTEST)","UKAISI-2026-06","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","RealityTest: How People Probe AI Identity and Whether Models Disclose It","https://www.aisi.gov.uk/research/realitytest-how-people-probe-ai-identity-and-whether-models-disclose-it","2026-06-08","INCLUDED","Research page for the full RealityTest paper (arXiv 2606.00168): 3,152 human-authored queries from ~750 participants in 49 countries; substantial disclosure variation; single suppression instruction drops disclosure below 30% even in best models — matches dataset report UKAISI-2026-06-REALITYTEST","UKAISI-2026-06-REALITYTEST","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","Consistency Training Can Entrench Misalignment","https://www.aisi.gov.uk/research/consistency-training-can-entrench-misalignment","2026-06-02","INCLUDED","Experimental findings across 7 consistency-training methods and 108 model organisms (7B-70B): consistency training generally suppresses reward hacking and emergent misalignment but amplifies sycophancy — matches dataset report UKAISI-2026-06-CONSIST","UKAISI-2026-06-CONSIST","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","AI alignment is a human problem","https://www.aisi.gov.uk/research/ai-alignment-is-a-human-problem","2026-05-30","INCLUDED","Research paper (OSF preprint) documenting five evidence-grounded human-supervision bottlenecks in alignment pipelines (biased judgment, contested values, limited throughput, counterfactual reasoning, expertise-limited verification); borderline governance/process findings — retained as it matches dataset report UKAISI-ALI-2026-05-30","UKAISI-ALI-2026-05-30","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","Deepening our partnership with the Australian AI Safety Institute","https://www.aisi.gov.uk/blog/deepening-our-partnership-with-the-australian-ai-safety-institute","2026-05-25","EXCLUDED - no findings","Partnership announcement (UK-Australia agreement to collaborate on evaluation best practice); no evidence-backed findings","","2026-08-01","agent"
"UK AI Security Institute (UK AISI)","Will it become harder to oversee AI systems?","https://www.aisi.gov.uk/blog/will-it-become-harder-to-oversee-ai-systems","2026-05-21","EXCLUDED - duplicate/secondary","Blog summary restating the same-day full report 'Loss of Oversight: How AI systems may become harder to audit, monitor, and investigate' (INCLUDED, UKAISI-2026-05B); no finding published only here","","2026-08-01","agent"
