type,sheet_row,finding_id,column,old,new,reason
DECISION,23,JOINT-2026-02-JAI1,Finding,"UK AISI discovered a universal jailbreak affecting GPT-5.3-Codex within approximately 10 hours of evaluation, enabling bypass of safety guardrails across the model.","Within ~10 hours of manual red-teaming, UK AISI developed a single-message universal jailbreak against GPT-5.3-Codex's integrated Safety Reasoner safeguards, achieving 0.778 pass@200 on OpenAI's policy-violating cyber dataset.","MERGE 23+24 per user: both facts (10-hr universal jailbreak; 0.778 pass@200 single message) preserved, correctly attributed to the jailbreak not the model"
DECISION,23,JOINT-2026-02-JAI1,Notes,Pre-deployment access enabled jailbreak to be reported and safeguard updates deployed before public release  [Report tested: reference models],Pre-deployment access enabled jailbreak to be reported and safeguard updates deployed before public release  [Report tested: reference models] [CLUBBED 2026-07-15: JOINT-2026-02-JAI1 + JOINT-2026-02-CYB2 — same source sentence],merge audit trail
DECISION,24,JOINT-2026-02-CYB2,Action Trackable?,yes,no,"MERGED into JOINT-2026-02-JAI1 (row 23) — tombstone, delete after review"
DECISION,24,JOINT-2026-02-CYB2,Notes,Single-message elicitation of policy-violating outputs at near-80% rate; corroborates 'High' Preparedness classification  [Report tested: reference models],[MERGED 2026-07-15 into JOINT-2026-02-JAI1 — same source sentence; row retained as tombstone],merge audit trail
DECISION,34,NEW-070,Attribution,Explicit,None,rollback (2025-04) predates the eval (2026-04) by a year and cannot name it; codebook Explicit requires response to name the eval
DECISION,34,NEW-070,Notes,NEW-CANDIDATE  [Report tested: GPT-5; Claude Sonnet 4.5],"NEW-CANDIDATE  [Report tested: GPT-5; Claude Sonnet 4.5] [ATTRIBUTION RECODED 2026-07-15: company action predates finding by ~1 year with no causal link to the eval; consider a ""pre-addressed"" tag in codebook]",audit trail
DECISION,40,NEW-151,Action Trackable?,yes,no,"RE-FILED per user decision 2026-07-15: company self-classification (OpenAI Preparedness), not an eval finding"
DECISION,40,NEW-151,Traceability Tag,traceable,company-self-report,new stratum for self-reported findings
DECISION,40,NEW-151,Notes,NEW-CANDIDATE,"NEW-CANDIDATE [RE-FILED 2026-07-15: company self-classification (OpenAI Preparedness), not an eval finding — kept as company-self-report stratum, excluded from accountability denominator]",audit trail
DECISION,54,ADD-12,Action Trackable?,yes,no,"RE-FILED per user decision 2026-07-15: Anthropic self-reported finding (Claude 4 system card sec 4.1.9), not Apollo evaluation"
DECISION,54,ADD-12,Traceability Tag,traceable,company-self-report,new stratum for self-reported findings
DECISION,54,ADD-12,Notes,ADD-12: completeness-audit; pending severity/response/channel,"ADD-12: completeness-audit; pending severity/response/channel [RE-FILED 2026-07-15: Anthropic self-reported finding (Claude 4 system card sec 4.1.9), not Apollo evaluation — kept as company-self-report stratum, excluded from accountability denominator]",audit trail
DECISION,54,ADD-12,Report ID,JOINT-2025-05,ANTHROPIC-2025-05-SELF,self-report re-filing
DECISION,54,ADD-12,Report Title,Claude Opus 4 Early Snapshot Scheming Evaluation,Claude 4 System Card (Anthropic self-reported findings),self-report re-filing
DECISION,54,ADD-12,Institution,Apollo Research + Anthropic (AISI-adjacent -- Apollo in AISIC),Anthropic (company self-report),self-report re-filing
DECISION,64,JOINT-2025-05-ALI1-s2,Action Trackable?,yes,no,"RE-FILED per user decision 2026-07-15: Anthropic self-reported finding (system card sec 4.1.1.2 opportunistic blackmail), not Apollo evaluation"
DECISION,64,JOINT-2025-05-ALI1-s2,Traceability Tag,traceable,company-self-report,new stratum for self-reported findings
DECISION,64,JOINT-2025-05-ALI1-s2,Notes,Pre-deployment evaluation -- private fix cannot be excluded from earlier knowledge; strongest documented pre-deployment action on record; outcome_type=1 so Substantive action level  [CLUBBED 4: JOINT-2025-05-ALI1 + JOINT-2025-05-ALI2 + JOINT-2025-05-ALI3 + JOINT-2025-05-ALI4]  [S,Pre-deployment evaluation -- private fix cannot be excluded from earlier knowledge; strongest documented pre-deployment action on record; outcome_type=1 so Substantive action level  [CLUBBED 4: JOINT-2025-05-ALI1 + JOINT-2025-05-ALI2 + JOINT-2025-05-ALI3 + JOINT-2025-05-ALI4]  [S,audit trail
DECISION,64,JOINT-2025-05-ALI1-s2,Report ID,JOINT-2025-05,ANTHROPIC-2025-05-SELF,self-report re-filing
DECISION,64,JOINT-2025-05-ALI1-s2,Report Title,Claude Opus 4 Early Snapshot Scheming Evaluation,Claude 4 System Card (Anthropic self-reported findings),self-report re-filing
DECISION,64,JOINT-2025-05-ALI1-s2,Institution,Apollo Research + Anthropic (AISI-adjacent -- Apollo in AISIC),Anthropic (company self-report),self-report re-filing
VERIFIED-FIX,2,UKAISI-2024-10-JAI1,Key Quote,Leading models comply with malicious agent requests WITHOUT jailbreaking.,leading LLMs are surprisingly compliant with malicious agent requests without jailbreaking,"Phase3: key quote was ""paraphrase""; replaced with source-verified verbatim"
VERIFIED-FIX,2,UKAISI-2024-10-JAI1,Finding,Leading LLMs comply with malicious agentic requests at high rates without any jailbreaking — worst case Mistral Large 2 refused only 1.1% and scored 82.2% harm — showing agentic safety is far weaker than conversational safety.,Some leading LLMs comply with malicious agentic requests at high rates without any jailbreaking — worst case Mistral Large 2 refused only 1.1% of requests and scored 82.2% harm — suggesting agents may be less robust than chatbots against misuse.,"Finding correction: paper hedges (agents ""may be less robust""); high-rate compliance applies to some models only (Claude refused 85.2%)"
VERIFIED-FIX,3,UKAISI-2024-10-JAI3,Key Quote,GPT-4o harm score jumps from 48.4% to 72.7% after jailbreaking.,"GPT-4o, increasing its harm score from 48.4% to 72.7% and decreasing refusal rate from 48.9% to 13.6%","Phase3: key quote was ""paraphrase""; replaced with source-verified verbatim"
VERIFIED-FIX,3,UKAISI-2024-10-JAI3,Finding,"GPT-4o's harm compliance score increased from 48.4% to 72.7% after applying agentic jailbreak techniques, demonstrating meaningful uplift from targeted jailbreaking.","GPT-4o's harm compliance score increased from 48.4% to 72.7% after applying a universal jailbreak template adapted from chatbot jailbreaks, showing standard chat jailbreaking methods transfer to agents.","Finding correction: source: single universal template adapted from chatbot jailbreak, not plural ""agentic techniques"""
VERIFIED-FIX,4,UKAISI-2024-12-BIO1,Key Quote,,More than 70% of these solutions were downgraded by the domain experts.,"Phase3: key quote was ""missing""; replaced with source-verified verbatim"
VERIFIED-FIX,5,UKAISI-2025-04-ALI1,Key Quote,,The best performing model has a >50% pass@10 score on 15/20 task families and a >50% pass@10 score for 9/20 families on the hardest variants.,"Phase3: key quote was ""n/a (no Key Quote field)""; replaced with source-verified verbatim"
VERIFIED-FIX,5,UKAISI-2025-04-ALI1,Source URL,https://www.aisi.gov.uk/blog/replibench-measuring-autonomous-replication-capabilities-in-ai-systems,https://arxiv.org/abs/2504.18565,RepliBench paper names Claude 3.7 Sonnet; blog anonymises (user-confirmed rule: Source URL = report link)
VERIFIED-FIX,5,UKAISI-2025-04-ALI1,Finding,"The best-performing evaluated model achieved greater than 50% pass@10 success on 15 out of 20 autonomous self-replication task families, indicating broad capability across the replication task space; on the hardest task variants, however, it scored greater than 50% pass@10 on onl","The best model evaluated (Claude 3.7 Sonnet, per the RepliBench paper) achieved greater than 50% pass@10 on 15 of 20 autonomous self-replication task families, and greater than 50% pass@10 on only 9 of 20 families on the hardest variants (paper abstract; results body says 10/20).",Finding correction: model now named per paper; 9/20 vs 10/20 paper-internal discrepancy noted
VERIFIED-FIX,6,UKAISI-2025-11-ALI5,Key Quote,,"However, both Opus 4.5 Preview and Sonnet 4.5 frequently refused to engage with certain safety research tasks, citing concerns about research direction, involvement in their own training, or the scope of proposed changes.","Phase3: key quote was ""missing""; replaced with source-verified verbatim"
VERIFIED-FIX,7,UKAISI-2025-11-ALI6,Key Quote,,"However, task-driven awareness remains. Models can (when prompted) still reliably distinguish alignment evaluations from benign deployment data.","Phase3: key quote was ""missing""; replaced with source-verified verbatim"
VERIFIED-FIX,8,UKAISI-2025-12-ALI13,Key Quote,,"By Round 3, after seeing attack patterns and iterating, the best monitor missed only 6% at worst (Figure 2).","Phase3: key quote was ""missing""; replaced with source-verified verbatim"
VERIFIED-FIX,9,UKAISI-2026-03-CYB1,Key Quote,Averaged 9.8 steps without extended processing time -- up from fewer than 2 steps 18 months earlier.,"On “The Last Ones”, GPT-4o (August 2024) averaged 1.7 steps at 10M tokens, while Opus 4.6 (February 2026) averages 9.8.","Phase3: key quote was ""not-found""; replaced with source-verified verbatim"
VERIFIED-FIX,9,UKAISI-2026-03-CYB1,Lag (days),14.0,22,Date/Lag: recomputed 2026-04-07 minus 2026-03-16 (was 14.0)
VERIFIED-FIX,10,UKAISI-2026-03-CYB2,Key Quote,Averaged 9.8 steps without extended processing time -- up from fewer than 2 steps 18 months earlier.,"Increasing the token budget from 10M to 100M yields gains of up to 59%, with no observed plateau.","Phase3: key quote was ""not-found""; replaced with source-verified verbatim"
VERIFIED-FIX,11,UKAISI-2026-04-CYB1,Key Quote,This is not routine communication. It is an alarm bell. Frontier AI capabilities in cyber offence are doubling every four months.,On expert-level tasks — which no model could complete before April 2025 — Mythos Preview succeeds 73% of the time.,"Phase3: key quote was ""not-found""; replaced with source-verified verbatim"
VERIFIED-FIX,11,UKAISI-2026-04-CYB1,Lag (days),0.0,-6,Date/Lag: negative lag allowed (pre-publication response); was 0.0 placeholder
VERIFIED-FIX,11,UKAISI-2026-04-CYB1,Policy Level,In guidance,None,"EP question E-001575/2026 cites Anthropic and CeSIA, never AISI; submitted 16 Apr not 7 Apr — inadmissible as response to this finding"
VERIFIED-FIX,11,UKAISI-2026-04-CYB1,Policy Response,UK Security Minister's CYBERUK 2026 speech (gov.uk) confirmed AISI tested Mythos and announced a new GBP 90 million cyber resilience investment plus a voluntary Cyber Resilience Pledge; the EU Parliament tabled written question E-001575/2026 referencing AISI's cyber evaluation of,None,same
VERIFIED-FIX,11,UKAISI-2026-04-CYB1,Channel B Verbatim,Our world leading AI Security Institute tested Mythos and is working directly with a range of companies on Frontier AI ... today I am announcing a new £90 million investment to strengthen our cyber resilience.,,same
VERIFIED-FIX,11,UKAISI-2026-04-CYB1,Channel B Evidence,https://www.gov.uk/government/speeches/security-ministers-speech-to-cyberuk-2026 | https://www.europarl.europa.eu/doceo/document/E-10-2026-001575_EN.html,,same
VERIFIED-FIX,12,UKAISI-2026-04-CYB2,Key Quote,FIRST model to complete TLO 32-step corporate network attack end-to-end.,"Claude Mythos Preview is the first model to solve TLO from start to finish, in 3 out of its 10 attempts.","Phase3: key quote was ""paraphrase""; replaced with source-verified verbatim"
VERIFIED-FIX,12,UKAISI-2026-04-CYB2,Lag (days),0.0,-6,Date/Lag: negative lag allowed; was 0.0 placeholder
VERIFIED-FIX,12,UKAISI-2026-04-CYB2,Policy Level,Cited,None,"EP question E-001575/2026 cites Anthropic and CeSIA, never AISI; submitted 16 Apr not 7 Apr — inadmissible as response to this finding"
VERIFIED-FIX,12,UKAISI-2026-04-CYB2,Policy Response,"European Parliament written question E-001575/2026 (submitted 7 Apr 2026 by The Left/Greens-EFA/S&D MEPs) formally raised Claude Mythos's advanced offensive cyber capabilities with the Commission, asking about EU cybersecurity strategy, sovereign vulnerability-research capability",None,same
VERIFIED-FIX,12,UKAISI-2026-04-CYB2,Channel B Evidence,https://www.europarl.europa.eu/doceo/document/E-10-2026-001575_EN.html,,same
VERIFIED-FIX,13,UKAISI-2026-04-ALI6,Key Quote,"When prompted, Mythos Preview continued sabotage in 7% of cases vs 0% for Opus 4.7 -- AISI sabotage evaluation","Notably, we found that Mythos Preview actively continues sabotage 7% of the time, compared to 3% for Opus 4.6 and 4% for Sonnet 4.6.","Phase3: key quote was ""paraphrase""; replaced with source-verified verbatim"
VERIFIED-FIX,14,UKAISI-2026-04-CYB11,Key Quote,71.4% expert-level CTF pass rate -- highest AISI has ever tested,"On this measure, GPT-5.5 may be the strongest model we have tested.","Phase3: key quote was ""paraphrase""; replaced with source-verified verbatim"
VERIFIED-FIX,15,UKAISI-2026-04-JAI1,Key Quote,Universal jailbreak found in 6 hours,"OpenAI subsequently made several updates to the safeguard stack, though a configuration issue in the version provided meant UK AISI were unable to verify the effectiveness of the final configuration.","Phase3: key quote was ""paraphrase""; replaced with source-verified verbatim"
VERIFIED-FIX,16,UKAISI-2026-05-CYB2,Key Quote,Our independent testing shows that cyber capabilities in leading AI systems are advancing much faster than we expected. That matters because this isn't theoretical -- those advances are already starting to translate into real risks. -- UK AI Minister Kanishka Narayan,This was the first time that a model completed the second of our two cyber ranges.,"Phase3: key quote was ""paraphrase""; replaced with source-verified verbatim"
VERIFIED-FIX,16,UKAISI-2026-05-CYB2,Response Date,2026-05-15 00:00:00,2026-06-02,Date/Lag: Anthropic page actual date (was 2026-05-15)
VERIFIED-FIX,16,UKAISI-2026-05-CYB2,Lag (days),2.0,20,Date/Lag: recomputed from corrected response date
VERIFIED-FIX,17,USCAISI-2025-12-SOC1,Key Quote,CAISI scores systematically lower than Kimi K2's self-reported benchmark numbers.,"Kimi K2 Thinking is highly censored in Chinese, with censorship rates similar to those of DeepSeek R1-0528, the most censored PRC model that CAISI has tested.","Phase3: key quote was ""not-found""; replaced with source-verified verbatim"
VERIFIED-FIX,18,JOINT-2024-11-JAI1,Key Quote,"We found that the models displayed several characteristics that may be of concern, including their willingness to comply with requests for harmful information when presented in certain ways.",UK AISI tested the upgraded Sonnet 3.5 using a series of public and privately developed jailbreaks and also found the version of the safeguards that UK AISI tested can be routinely circumvented.,"Phase3: key quote was ""not-found""; replaced with source-verified verbatim"
VERIFIED-FIX,18,JOINT-2024-11-JAI1,Institution,Joint UK AISI + US AISI,Joint UK AISI + US CAISI,Canonical institution spelling
