"SecureBio","[Publication] Deep metatranscriptomic sequencing data of wastewater from Los Angeles, USA, 2023–2024 — Grimm et al. (2026), Nature Scientific Data","https://www.nature.com/articles/s41597-025-06475-7","2026","EXCLUDED - no findings","Wastewater metatranscriptomic data descriptor (biosurveillance); no qualifying AI-evaluation finding.","","2026-08-01","agent"
"SecureBio","[Publication] Virology Capabilities Test (VCT): A Multimodal Virology Q&A Benchmark — Götting et al. (2025)","https://www.virologytest.ai/","2025","INCLUDED","SecureBio benchmark (virologytest.ai redirects to securebio.org) reporting empirical accuracy of specific LLMs on virology wet-lab troubleshooting; empirical model + methodology findings. Maps to VCT.","SECUREBIO-2025-04","2026-08-01","agent"
"SecureBio","[Publication] Untargeted longitudinal ultra deep metagenomic sequencing of wastewater provides a comprehensive readout of expected and unexpected viral pathogens — Rushford et al. (2025), medRxiv","https://www.medrxiv.org/content/10.1101/2025.10.27.25338874v1","2025-10-27","EXCLUDED - no findings","Wet-lab wastewater metagenomics study (biosurveillance); no AI-evaluation finding.","","2026-08-01","agent"
"SecureBio","[Publication] Inferring the sensitivity of wastewater metagenomic sequencing for early detection of viruses: a statistical modelling study — Grimm et al. (2025), The Lancet Microbe","https://www.thelancet.com/journals/lanmic/article/PIIS2666-5247(25)00115-6/fulltext","2025","EXCLUDED - no findings","Statistical modelling of wastewater sequencing sensitivity (biosurveillance); no AI-evaluation finding.","","2026-08-01","agent"
"SecureBio","[Publication] METAGENE-1: Metagenomic Foundation Model for Pandemic Monitoring — Liu et al. (2025), arXiv","https://arxiv.org/abs/2501.02045","2025-01","EXCLUDED - no findings","Genomics foundation-model development paper (USC/Prime Intellect-led, NAO co-author); benchmarks its own biosurveillance model, not a safety evaluation of a third-party AI system; no qualifying finding.","","2026-08-01","agent"
"SecureBio","[Publication] Indoor air sampling for detection of viral nucleic acids — Justen et al. (2025), Journal of Aerosol Science","https://doi.org/10.1016/j.jaerosci.2025.106549","2025","EXCLUDED - no findings","Aerosol/air-sampling wet-lab method study (biosurveillance); no AI-evaluation finding.","","2026-08-01","agent"
"SecureBio","[Publication] Comparing sampling strategies for early detection of stealth biothreats — Bradshaw W, Grimm S (2024), Nucleic Acid Observatory","https://naobservatory.org/reports/comparing-sampling-strategies-for-early-detection-of-stealth-biothreats/","2024","EXCLUDED - no findings","Biosurveillance sampling-strategy analysis (NAO); no AI-evaluation finding.","","2026-08-01","agent"
"SecureBio","[Publication] SecureBio Recommendations for AI and Biosecurity Under NIST's E.O. 14110 RFI — Jeyapragasan, Gopal, Esvelt (2024)","https://cms.securebio.org/content/2024-NIST-RFI.pdf","2024","EXCLUDED - no findings","Policy recommendations / RFI response (forward-looking recommendations); contains no evidence-backed finding per §1.0.","","2026-08-01","agent"
"SecureBio","[Publication] Predicting Virus Relative Abundance in Wastewater — Kaufman et al. (2023), Nucleic Acid Observatory","https://naobservatory.org/reports/predicting-virus-relative-abundance-in-wastewater/","2023","EXCLUDED - no findings","Wastewater virus-abundance modelling (biosurveillance); no AI-evaluation finding.","","2026-08-01","agent"
"SecureBio","[Publication] Virus-like DNA tracers for characterizing wastewater-based pathogen monitoring systems — Gopal et al. (2023), bioRxiv","https://doi.org/10.1101/2023.12.24.573197","2023-12-24","EXCLUDED - no findings","Wet-lab DNA-tracer method for wastewater monitoring (biosurveillance); no AI-evaluation finding.","","2026-08-01","agent"
