"Japan AI Safety Institute (J-AISI)","Hiroshima Global Forum for Trustworthy AI 開催のお知らせ","https://aisi.go.jp/activity/activity_international/251127/","2025-11-27","EXCLUDED - no findings","Bilingual event announcement for a Jan 2026 forum (venue, schedule, sessions); no measured results, observed behaviours, or process findings","","2026-08-01","agent"
"Japan AI Safety Institute (J-AISI)","米Anthropic社とMOCを締結しました。(MOC signed with Anthropic)","https://aisi.go.jp/activity/activity_international/251029/","2025-10-29","EXCLUDED - no findings","Partnership announcement of a Memorandum of Cooperation with Anthropic; states intentions for future collaboration only, no evaluation findings","","2026-08-01","agent"
"Japan AI Safety Institute (J-AISI)","「広島AIプロセス及びAI法関連サイドイベント」を開催しました。/ Future Developments of HAIP: Initial Reporting Outcomes and Alignment with the Japan AI Act","https://aisi.go.jp/activity/activity_international/250804/","2025-08-04","EXCLUDED - no findings","Event recap of a Vancouver side event on HAIP and Japan's AI Act; the only figure (20 orgs submitted HAIP framework reports) is program-administration news, not an evidence-backed evaluation finding per protocol 1.0","","2026-08-01","agent"
"Japan AI Safety Institute (J-AISI)","共同テスト演習の評価レポートが公表されました。/ Evaluation reports for the 2nd and 3rd joint testing exercise published","https://aisi.go.jp/activity/activity_international/250718/","2025-07-18","EXCLUDED - duplicate/secondary","Announcement hub linking to the 2nd (multilingual) and 3rd (agentic) International Network joint testing reports; no new findings — primaries already in dataset as SGAISI-2025-07-JAI1 and UKAISI-2025-07-CYB1/JOINT-2025-07","","2026-08-01","agent"
"Japan AI Safety Institute (J-AISI)","共同テストのブログ記事が公開されました。(International Network joint testing blog post published)","https://aisi.go.jp/activity/activity_international/250211/","2025-02-11","EXCLUDED - duplicate/secondary","Japanese pointer page directing readers to the Singapore AISI blog on the multilingual joint testing exercise; no findings on the page itself — the exercise's primary report is SGAISI-2025-07-JAI1","","2026-08-01","agent"
"Japan AI Safety Institute (J-AISI)","AISI国際ネットワークにおいて、「Mission Statement」が公開されました。(International Network of AISIs Mission Statement)","https://aisi.go.jp/activity/activity_international/241120/","2024-11-20","EXCLUDED - no findings","Announcement that the International Network published its Mission Statement at the San Francisco convening; links only, no evaluation findings","","2026-08-01","agent"
"Japan AI Safety Institute (J-AISI)","AISIパートナーシップ / J-AISI Partnership","https://aisi.go.jp/activity/activity_j-aisi_partnership/250929/","2025-09-29","EXCLUDED - no findings","Bilingual program description of the J-AISI Partnership coordination framework with domestic ministries; no measured results or empirical findings","","2026-08-01","agent"
"Japan AI Safety Institute (J-AISI)","AI政策動向マンスリー情報 (AI Policy Trends Monthly, 2026-07-15)","https://aisi.go.jp/activity/activity_information/260715/","2026-07-15","EXCLUDED - no findings","Japanese-language monthly digest of external AI policy news links (Japan AISI activities, domestic and international policy); no original findings — would otherwise be post-cutoff (after 2026-07-09)","","2026-08-01","agent"
"Japan AI Safety Institute (J-AISI)","AI政策動向マンスリー情報 (AI Policy Trends Monthly, 2026-06-12)","https://aisi.go.jp/activity/activity_information/260612/","2026-06-12","EXCLUDED - no findings","Japanese-language monthly digest curating external AI policy announcements with source links; no original evaluation findings by J-AISI","","2026-08-01","agent"
"Japan AI Safety Institute (J-AISI)","「JAI-Trust：日本の生成AIの安全性とセキュリティーのベンチマーク構築プロジェクト」を開催しました。","https://aisi.go.jp/activity/activity_information/260529/","2026-05-29","EXCLUDED - no findings","Japanese event report on the May 21 2026 JAI-Trust benchmark-construction kickoff (about 500 participants, nine WG presentations); describes project goals only, no benchmark scores or measured results","","2026-08-01","agent"
"Japan AI Safety Institute (J-AISI)","AI政策動向マンスリー情報 (AI Policy Trends Monthly, 2026-05-13)","https://aisi.go.jp/activity/activity_information/260513/","2026-05-13","EXCLUDED - no findings","Japanese-language monthly digest of external AI policy news links; aggregator content, no original evaluation findings","","2026-08-01","agent"
"Japan AI Safety Institute (J-AISI)","「JAI-Trust：日本の生成AIの安全性とセキュリティーのベンチマーク構築プロジェクト」開催のお知らせ","https://aisi.go.jp/activity/activity_information/260427/","2026-04-27","EXCLUDED - no findings","Japanese event announcement for the May 21 2026 JAI-Trust conference (agenda, venue, registration); project plan only, no evaluation results","","2026-08-01","agent"
