"Collective Intelligence Project (Weval)","AI and the Commons: Data Governance for Generative AI","https://www.cip.org/blog/ai-and-the-commons-data-governance-for-generative-ai","2024-05-07","EXCLUDED - no findings","Policy/opinion piece on data governance and CC licensing with Alignment Assembly perspectives; no measured results or evaluation of any AI system","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Building the Field of Democratic AI: Our Roadmap Launch and Webinar","https://www.cip.org/blog/building-the-field-of-democratic-ai-our-roadmap-launch-webinar","2024-05-13","EXCLUDED - no findings","Announcement of CIP's Roadmap to Democratic AI and launch webinar with panelist commentary; conceptual/vision piece with no evaluation findings","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","We need network societies, not network states","https://www.cip.org/blog/network-societies","2024-05-20","EXCLUDED - no findings","Opinion/critique of Balaji Srinivasan's Network State thesis; philosophical-political argument with no empirical AI evaluation content","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Four tools that CIP is working on","https://www.cip.org/blog/four-tools-that-cip-is-working-on","2024-07-12","EXCLUDED - no findings","Announcement of four tools in development (Community Models, scenario tool, CIwA, Voice of Nature); forward-looking plans, no documented outcomes or measured results","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Predistribution over Redistribution: Beyond the Windfall Clause","https://www.cip.org/blog/predistribution-over-redistribution-beyond-the-windfall-clause","2024-08-05","EXCLUDED - no findings","Economic-policy opinion piece critiquing the Windfall Clause; theoretical/historical argument, no AI system evaluation","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Shared Code: Democratizing AI Companies","https://www.cip.org/blog/shared-code","2024-10-23","EXCLUDED - no findings","Corporate-governance design proposal (employee councils, purpose trusts, commons ownership); no evidence-backed evaluation findings","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Runtime AI, and the Subtleties of Language","https://www.cip.org/blog/runtimeai","2024-10-30","EXCLUDED - no findings","Educational commentary on prompt sensitivity; the nine-variant 'crow' example on an 8B model is illustrative, not a systematic measured evaluation","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","The AI Safety Paradox: When 'Safe' AI Makes Systems More Dangerous","https://www.cip.org/blog/safetyparadox","2024-11-21","EXCLUDED - no findings","Analytical opinion piece arguing for system-level over individual-model safety; analogies and theoretical scenarios only, no measured results","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Andy Ayrey on Truth Terminal, Agentic AI, and Data Commons","https://www.cip.org/blog/terminaloftruth","2024-11-27","EXCLUDED - no findings","Interview exploring Truth Terminal and Ayrey's views on agentic AI and data commons; personal perspectives, no controlled testing or behavioural metrics","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Q1 2024 Quarterly Update","https://www.cip.org/campaigns/view-campaign/30aHbnCPBZL_gcHEoByrqGlWz_LCNQ-CVWlwfPjvu8ZWw0g77NsqU3d_7VL76hXS-tpGphMDOU59Ezf2FzSKoM2-jyL-jDkX","2024","EXCLUDED - no findings","Quarterly newsletter announcing partnerships, roadmap launch, TED talk, and CCAI input into Claude 3's constitution; institutional news, no evaluation findings","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Q2 2024 Quarterly Update","https://www.cip.org/campaigns/view-campaign/J9BNgoqSoMGwdgpVzN6lmkkTaG6Bp9Hs1FOaq0Kbsd0mhfI1ZvpvBc7bJ3xizle2pRUM81467lQB4k97v71gARUhGuX2T9L-","2024","EXCLUDED - duplicate/secondary","Newsletter; its only finding-like claim (CCAI process yields a less biased, better performing model) restates the Collective Constitutional AI paper with Anthropic (arxiv.org/abs/2406.07814), the primary source; rest is hiring/funding news","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Q3 2024 Quarterly Update","https://www.cip.org/campaigns/view-campaign/tfmszxcCJrUor4MHT3-4CAbVaAGDhcx-voO4HgXFoARvVznE41h3EhhZzB5qiNcyAEha1MZLy2Tg2WX6bdBgRY_v4O7aYcuI","2024","EXCLUDED - no findings","Quarterly newsletter (TIME100, Global AI Dialogues participation counts, staff news); previews public-input work without presenting data, no model evaluation findings","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","2024 Annual Report","https://www.cip.org/s/2024-Annual-Report-CIP.pdf","2024","EXCLUDED - no findings","Organizational year-in-review (PDF text extracted and read in full); contains public-opinion survey results from Global Dialogues and programme summaries, but no evidence-backed evaluation findings about any AI model or system","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Global Dialogues 3: Quick Insights & What's Next","https://globaldialogues.ai/updates/global-dialogues-3-quick-insights-and-what-s-next","2025-05-17","EXCLUDED - no findings","Public-opinion survey results (~1,000 participants on AI use, trust, emotional reliance) plus announcements; self-reported perceptions, not evaluation findings about a specific AI system","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","LLM Judges Are Unreliable (cip.org version)","https://www.cip.org/blog/llm-judges-are-unreliable","2025-05-22","INCLUDED","Empirical methodology findings asserted by CIP: measured positional bias (Response B chosen ~61% across 8 named frontier models incl. Gemini Flash 2.5, GPT-4.1, Claude Sonnet 3.7, Mistral Large), rubric-order effects (~3.5% score shift), scale-format effects (1.68 vs 3.17 for identical content), and de-biasing prompts worsening bias; no matching report_id in current dataset - candidate miss","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Introducing the Global Pulse Indicators","https://www.cip.org/blog/introducing-the-global-pulse-indicators","2025-08-06","EXCLUDED - no findings","Announcement/methodology piece introducing longitudinal public-sentiment indicators (diffusion, trust, perceived impact); survey data on attitudes, no evaluation of a specific AI system","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","LLM Judges Are Unreliable (Substack cross-post)","https://blog.cip.org/p/llm-judges-are-unreliable","2025-08-15","EXCLUDED - duplicate/secondary","Explicit republication ('we are republishing some highlighted posts') of the primary cip.org post 'LLM Judges Are Unreliable' (2025-05-22), which is INCLUDED; same findings, no new results","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Collective Intelligence with LLMs","https://blog.cip.org/p/collective-intelligence-with-llms","2025-08-21","EXCLUDED - no findings","Opinion/announcement of internal prototypes (PluralPrompt, ACI Sandbox) and multi-agent deliberation thesis; illustrative whale-panel example with no metrics, benchmarks, or validated results","","2026-08-01","agent"
