"SecureBio","Our Research on Wastewater Sequencing Sensitivity Now in The Lancet Microbe","https://securebio.org/blog/lancet-paper/index.html","2025-10-22","EXCLUDED - no findings","Announcement that NAO/SecureBio Detection wastewater metagenomic sensitivity work appeared in The Lancet Microbe; biosurveillance wet-lab research, not an AI-system evaluation, so no qualifying finding per §1.0","","2026-08-01","agent"
"SecureBio","Scaling US pathogen detection (Biothreat Radar)","https://securebio.org/blog/biothreat_radar/index.html","2025-09-23","EXCLUDED - no findings","Describes scaling of a national biosurveillance/pathogen-detection program; biothreat-detection work, not an AI-model evaluation — no qualifying AI finding per §1.0","","2026-08-01","agent"
"SecureBio","Benchmarking three ONT-based workflows for untargeted sequencing of RNA viruses in wastewater","https://securebio.org/blog/ont_rpdsmrt/index.html","2025-09-15","EXCLUDED - no findings","Wet-lab methodology benchmarking of nanopore sequencing workflows for wastewater virus detection; biosurveillance tooling, not AI-evaluation methodology — no qualifying finding per §1.0","","2026-08-01","agent"
"SecureBio","The NAO is Hiring for Partnerships, Response, Virology, and Wet Lab Management","https://securebio.org/blog/hiring-q3-2025/index.html","2025-08-25","EXCLUDED - no findings","Recruitment/hiring announcement; contains no evidence-backed evaluation finding per §1.0","","2026-08-01","agent"
"SecureBio","Evaluating Outward Assembly on a Surprising Junction","https://securebio.org/blog/outward-assembly-eval/index.html","2025-07-24","EXCLUDED - no findings","Evaluates a bioinformatics genome-assembly tool against a real SARS-CoV-2/synthetic chimera junction; wet-lab detection tooling, not an AI-system evaluation — no qualifying AI finding per §1.0","","2026-08-01","agent"
"SecureBio","NAO Updates, July 2025","https://securebio.org/blog/updates-jul-2025/index.html","2025-07-09","EXCLUDED - no findings","Periodic program-progress update for the biosurveillance (NAO/SecureBio Detection) program; no standalone AI-evaluation finding per §1.0","","2026-08-01","agent"
"SecureBio","Estimating the sensitivity of wastewater metagenomic sequencing using nasal swabs","https://securebio.org/blog/swab-based-p2ra/index.html","2025-06-08","EXCLUDED - no findings","Wet-lab sensitivity-estimation study for wastewater metagenomic sequencing; biosurveillance research, not an AI-model evaluation — no qualifying finding per §1.0","","2026-08-01","agent"
"SecureBio","SecureBio's AI Team: An Overview of Our Biorisk Evaluations","https://securebio.org/blog/securebios-ai-team-overview-biorisk-evaluations/index.html","2025-06-04","EXCLUDED - no findings","Program overview of SecureBio's AI biorisk-evaluation team; points to confidential system-card evals and restates the VCT benchmark (primary source SECUREBIO-2025-04, VCT arXiv) but asserts no new measured result of its own per §1.0","","2026-08-01","agent"
"SecureBio","Pooled Lab Discards for Pathogen Detection","https://securebio.org/blog/lab-discards/index.html","2025-05-14","EXCLUDED - no findings","Biosurveillance study on using pooled clinical lab discards as a pathogen-detection sample source; not an AI-system evaluation — no qualifying AI finding per §1.0","","2026-08-01","agent"
"SecureBio","AIs Can Provide Expert-Level Virology Assistance","https://securebio.org/blog/ais-can-provide-expert-level-virology-assistance/index.html","2025-04-23","EXCLUDED - duplicate/secondary","Blog summary of the Virology Capabilities Test (VCT) results; primary/fullest source is the VCT arXiv paper already in the dataset (SECUREBIO-2025-04) — no finding published nowhere else, so secondary per §5","","2026-08-01","agent"
"SecureBio","Outward Assembly","https://securebio.org/blog/outward-assembly/index.html","2025-04-16","EXCLUDED - no findings","Introduces a bioinformatics genome-assembly method for pathogen sequence recovery; wet-lab detection tooling, not AI-evaluation methodology — no qualifying finding per §1.0","","2026-08-01","agent"
"SecureBio","NAO Updates, April 2025","https://securebio.org/blog/updates-apr-2025/index.html","2025-04-15","EXCLUDED - no findings","Periodic program-progress update for the biosurveillance program; no standalone AI-evaluation finding per §1.0","","2026-08-01","agent"
"SecureBio","An Update on Our Air Sampling Research","https://securebio.org/blog/air-sampling-paper/index.html","2025-04-03","EXCLUDED - no findings","Progress update on air-sampling biosurveillance research; not an AI-model evaluation — no qualifying AI finding per §1.0","","2026-08-01","agent"
"SecureBio","Scaling Our Pilot Early-Warning System","https://securebio.org/blog/scaling-our-early-warning-system/index.html","2025-04-02","EXCLUDED - no findings","Describes scaling of the pandemic early-warning biosurveillance system; program/plan update, not an AI-system evaluation — no qualifying finding per §1.0","","2026-08-01","agent"
"SecureBio","Exploring Blood-Based Biosurveillance, Part 3: The Blood Virome","https://securebio.org/blog/exploring-blood-biosurveillance-part3/index.html","2025-02-07","EXCLUDED - no findings","Biosurveillance research on the blood virome for pathogen detection; not an AI-model evaluation — no qualifying AI finding per §1.0","","2026-08-01","agent"
"SecureBio","NAO Updates, January 2025","https://securebio.org/blog/updates-jan-2025/index.html","2025-01-09","EXCLUDED - no findings","Periodic program-progress update for the biosurveillance program; no standalone AI-evaluation finding per §1.0","","2026-08-01","agent"
"SecureBio","Fund the Nucleic Acid Observatory to Detect Stealth Pandemics","https://securebio.org/blog/fund-the-nao-to-detect-pandemics/index.html","2024-11-18","EXCLUDED - no findings","Fundraising/advocacy piece for the NAO biosurveillance program; opinion/appeal, not an evidence-backed evaluation finding per §1.0","","2026-08-01","agent"
"SecureBio","Testing Genetic Engineering Detection with Spike-Ins","https://securebio.org/blog/testing-with-spike-ins/index.html","2024-10-22","EXCLUDED - no findings","Wet-lab spike-in tests of a chimera/genetic-engineering detection system in wastewater; biosurveillance tooling result, not an AI-system evaluation — no qualifying AI finding per §1.0","","2026-08-01","agent"
